dteday,season,yr,weekday,hr,rider_type,riders,price,cogs,revenue,profit
2021-06-11,2,0,6,20,casual,95,3.99,1.24,379.05,377.81
2021-10-21,4,0,5,20,registered,155,3.99,1.24,618.45,617.21
2021-09-17,3,0,6,20,casual,43,3.99,1.24,171.57,170.33
2021-10-13,4,0,4,5,casual,1,3.99,1.24,3.99,2.75
2021-09-18,3,0,0,17,registered,230,3.99,1.24,917.70,916.46
2021-04-04,2,0,1,22,casual,17,3.99,1.24,67.83,66.59
2021-05-10,2,0,2,5,registered,28,3.99,1.24,111.72,110.48
2021-03-14,1,0,1,12,registered,54,3.99,1.24,215.46,214.22
2021-07-06,3,0,3,6,registered,112,3.99,1.24,446.88,445.64
2021-11-27,4,0,0,23,registered,27,3.99,1.24,107.73,106.49
2021-04-18,2,0,1,3,registered,1,3.99,1.24,3.99,2.75
2021-06-20,2,0,1,7,casual,0,3.99,1.24,0.00,-1.24
2021-12-24,1,0,6,4,casual,0,3.99,1.24,0.00,-1.24
2021-03-14,1,0,1,3,casual,0,3.99,1.24,0.00,-1.24
2021-11-29,4,0,2,16,registered,146,3.99,1.24,582.54,581.30
2021-01-08,1,0,6,9,casual,0,3.99,1.24,0.00,-1.24
2021-10-20,4,0,4,14,registered,117,3.99,1.24,466.83,465.59
2021-07-19,3,0,2,4,casual,1,3.99,1.24,3.99,2.75
2021-08-04,3,0,4,23,registered,108,3.99,1.24,430.92,429.68
2021-09-10,3,0,6,18,casual,119,3.99,1.24,474.81,473.57
2021-03-19,1,0,6,7,casual,4,3.99,1.24,15.96,14.72
2021-03-12,1,0,6,0,registered,30,3.99,1.24,119.70,118.46
2021-05-05,2,0,4,7,registered,255,3.99,1.24,1017.45,1016.21
2021-07-24,3,0,0,5,casual,5,3.99,1.24,19.95,18.71
2021-04-10,2,0,0,15,registered,141,3.99,1.24,562.59,561.35
2021-03-25,2,0,5,13,registered,104,3.99,1.24,414.96,413.72
2021-08-17,3,0,3,5,registered,28,3.99,1.24,111.72,110.48
2021-06-23,3,0,4,7,registered,301,3.99,1.24,1200.99,1199.75
2021-10-22,4,0,6,23,casual,27,3.99,1.24,107.73,106.49
2021-08-01,3,0,1,7,casual,24,3.99,1.24,95.76,94.52
2021-04-07,2,0,4,2,casual,0,3.99,1.24,0.00,-1.24
2021-09-12,3,0,1,17,casual,75,3.99,1.24,299.25,298.01
2021-02-07,1,0,1,23,casual,6,3.99,1.24,23.94,22.70
2021-04-02,2,0,6,0,registered,29,3.99,1.24,115.71,114.47
2021-10-18,4,0,2,17,registered,553,3.99,1.24,2206.47,2205.23
2021-07-18,3,0,1,23,casual,32,3.99,1.24,127.68,126.44
2021-09-21,3,0,3,15,registered,142,3.99,1.24,566.58,565.34
2021-07-28,3,0,4,18,casual,55,3.99,1.24,219.45,218.21
2021-12-11,4,0,0,20,registered,62,3.99,1.24,247.38,246.14
2021-11-04,4,0,5,8,registered,387,3.99,1.24,1544.13,1542.89
2021-03-31,2,0,4,3,registered,1,3.99,1.24,3.99,2.75
2021-03-13,1,0,0,20,registered,54,3.99,1.24,215.46,214.22
2021-06-30,3,0,4,15,casual,64,3.99,1.24,255.36,254.12
2021-08-13,3,0,6,13,registered,92,3.99,1.24,367.08,365.84
2021-10-09,4,0,0,6,casual,7,3.99,1.24,27.93,26.69
2021-02-11,1,0,5,15,registered,62,3.99,1.24,247.38,246.14
2021-11-04,4,0,5,0,casual,11,3.99,1.24,43.89,42.65
2021-12-12,4,0,1,11,registered,100,3.99,1.24,399.00,397.76
2021-06-30,3,0,4,5,casual,1,3.99,1.24,3.99,2.75
2021-01-18,1,0,2,20,casual,0,3.99,1.24,0.00,-1.24
2021-08-27,3,0,6,2,registered,59,3.99,1.24,235.41,234.17
2021-08-16,3,0,2,22,registered,121,3.99,1.24,482.79,481.55
2021-06-25,3,0,6,23,registered,130,3.99,1.24,518.70,517.46
2021-08-17,3,0,3,17,registered,506,3.99,1.24,2018.94,2017.70
2021-05-11,2,0,3,2,registered,4,3.99,1.24,15.96,14.72
2021-07-11,3,0,1,6,registered,102,3.99,1.24,406.98,405.74
2021-09-05,3,0,1,2,registered,22,3.99,1.24,87.78,86.54
2021-08-29,3,0,1,4,casual,0,3.99,1.24,0.00,-1.24
2021-10-03,4,0,1,19,casual,15,3.99,1.24,59.85,58.61
2021-05-13,2,0,5,23,casual,31,3.99,1.24,123.69,122.45
2021-03-12,1,0,6,22,registered,56,3.99,1.24,223.44,222.20
2021-12-27,1,0,2,14,casual,0,3.99,1.24,0.00,-1.24
2021-04-16,2,0,6,2,registered,19,3.99,1.24,75.81,74.57
2021-10-09,4,0,0,1,casual,15,3.99,1.24,59.85,58.61
2021-09-14,3,0,3,8,registered,396,3.99,1.24,1580.04,1578.80
2021-01-20,1,0,4,0,registered,8,3.99,1.24,31.92,30.68
2021-04-11,2,0,1,21,casual,39,3.99,1.24,155.61,154.37
2021-07-13,3,0,3,22,registered,136,3.99,1.24,542.64,541.40
2021-05-28,2,0,6,17,registered,161,3.99,1.24,642.39,641.15
2021-01-03,1,0,1,22,registered,20,3.99,1.24,79.80,78.56
2021-06-08,2,0,3,4,registered,6,3.99,1.24,23.94,22.70
2021-03-07,1,0,1,10,registered,43,3.99,1.24,171.57,170.33
2021-09-09,3,0,5,5,casual,0,3.99,1.24,0.00,-1.24
2021-04-14,2,0,4,6,casual,4,3.99,1.24,15.96,14.72
2021-12-28,1,0,3,2,registered,7,3.99,1.24,27.93,26.69
2021-11-18,4,0,5,5,casual,0,3.99,1.24,0.00,-1.24
2021-02-15,1,0,2,7,registered,103,3.99,1.24,410.97,409.73
2021-01-06,1,0,4,20,registered,66,3.99,1.24,263.34,262.10
2021-02-23,1,0,3,7,registered,94,3.99,1.24,375.06,373.82
2021-09-19,3,0,1,14,registered,143,3.99,1.24,570.57,569.33
2021-03-27,2,0,0,19,registered,80,3.99,1.24,319.20,317.96
2021-01-15,1,0,6,10,registered,57,3.99,1.24,227.43,226.19
2021-10-07,4,0,5,7,registered,237,3.99,1.24,945.63,944.39
2021-10-01,4,0,6,23,registered,57,3.99,1.24,227.43,226.19
2021-05-01,2,0,0,6,casual,4,3.99,1.24,15.96,14.72
2021-03-10,1,0,4,21,casual,1,3.99,1.24,3.99,2.75
2021-07-11,3,0,1,10,registered,73,3.99,1.24,291.27,290.03
2021-05-14,2,0,6,23,registered,33,3.99,1.24,131.67,130.43
2021-06-09,2,0,4,20,casual,40,3.99,1.24,159.60,158.36
2021-08-06,3,0,6,5,registered,4,3.99,1.24,15.96,14.72
2021-07-29,3,0,5,15,casual,40,3.99,1.24,159.60,158.36
2021-05-14,2,0,6,11,casual,72,3.99,1.24,287.28,286.04
2021-08-02,3,0,2,12,casual,45,3.99,1.24,179.55,178.31
2021-10-11,4,0,2,9,casual,40,3.99,1.24,159.60,158.36
2021-02-22,1,0,2,17,registered,188,3.99,1.24,750.12,748.88
2021-04-22,2,0,5,11,casual,23,3.99,1.24,91.77,90.53
2021-08-22,3,0,1,3,registered,5,3.99,1.24,19.95,18.71
2021-09-15,3,0,4,19,casual,20,3.99,1.24,79.80,78.56
2021-09-05,3,0,1,13,registered,235,3.99,1.24,937.65,936.41
2021-06-11,2,0,6,3,casual,10,3.99,1.24,39.90,38.66
2021-09-06,3,0,2,4,registered,3,3.99,1.24,11.97,10.73
2021-03-08,1,0,2,21,registered,68,3.99,1.24,271.32,270.08
2021-04-25,2,0,1,12,registered,140,3.99,1.24,558.60,557.36
2021-03-31,2,0,4,4,casual,0,3.99,1.24,0.00,-1.24
2021-06-28,3,0,2,7,registered,320,3.99,1.24,1276.80,1275.56
2021-04-05,2,0,2,5,casual,0,3.99,1.24,0.00,-1.24
2021-08-16,3,0,2,23,registered,57,3.99,1.24,227.43,226.19
2021-08-10,3,0,3,12,casual,74,3.99,1.24,295.26,294.02
2021-12-05,4,0,1,2,casual,0,3.99,1.24,0.00,-1.24
2021-02-25,1,0,5,5,registered,5,3.99,1.24,19.95,18.71
2021-12-16,4,0,5,17,registered,352,3.99,1.24,1404.48,1403.24
2021-07-24,3,0,0,6,casual,9,3.99,1.24,35.91,34.67
2021-06-06,2,0,1,0,registered,18,3.99,1.24,71.82,70.58
2021-04-09,2,0,6,6,casual,0,3.99,1.24,0.00,-1.24
2021-06-22,3,0,3,15,registered,114,3.99,1.24,454.86,453.62
2021-01-10,1,0,1,3,registered,1,3.99,1.24,3.99,2.75
2021-07-09,3,0,6,6,registered,27,3.99,1.24,107.73,106.49
2021-10-29,4,0,6,14,registered,29,3.99,1.24,115.71,114.47
2021-07-02,3,0,6,15,casual,168,3.99,1.24,670.32,669.08
2021-05-02,2,0,1,21,registered,178,3.99,1.24,710.22,708.98
2021-11-17,4,0,4,1,casual,0,3.99,1.24,0.00,-1.24
2021-05-13,2,0,5,5,casual,1,3.99,1.24,3.99,2.75
2021-07-07,3,0,4,0,casual,6,3.99,1.24,23.94,22.70
2021-08-10,3,0,3,12,registered,166,3.99,1.24,662.34,661.10
2021-10-22,4,0,6,8,registered,88,3.99,1.24,351.12,349.88
2021-11-14,4,0,1,23,registered,48,3.99,1.24,191.52,190.28
2021-08-31,3,0,3,23,registered,60,3.99,1.24,239.40,238.16
2021-10-05,4,0,3,19,registered,334,3.99,1.24,1332.66,1331.42
2021-05-28,2,0,6,11,registered,178,3.99,1.24,710.22,708.98
2021-11-01,4,0,2,11,casual,16,3.99,1.24,63.84,62.60
2021-04-16,2,0,6,22,casual,2,3.99,1.24,7.98,6.74
2021-02-11,1,0,5,6,registered,23,3.99,1.24,91.77,90.53
2021-07-22,3,0,5,23,casual,19,3.99,1.24,75.81,74.57
2021-12-08,4,0,4,19,casual,12,3.99,1.24,47.88,46.64
2021-10-18,4,0,2,18,registered,512,3.99,1.24,2042.88,2041.64
2021-08-20,3,0,6,12,casual,156,3.99,1.24,622.44,621.20
2021-05-20,2,0,5,20,casual,40,3.99,1.24,159.60,158.36
2021-01-22,1,0,6,7,casual,0,3.99,1.24,0.00,-1.24
2021-06-06,2,0,1,13,casual,28,3.99,1.24,111.72,110.48
2021-11-13,4,0,0,13,registered,234,3.99,1.24,933.66,932.42
2021-02-17,1,0,4,22,casual,8,3.99,1.24,31.92,30.68
2021-12-04,4,0,0,16,registered,266,3.99,1.24,1061.34,1060.10
2021-06-17,2,0,5,13,registered,156,3.99,1.24,622.44,621.20
2021-03-07,1,0,1,5,casual,0,3.99,1.24,0.00,-1.24
2021-12-05,4,0,1,3,registered,2,3.99,1.24,7.98,6.74
2021-08-29,3,0,1,19,casual,50,3.99,1.24,199.50,198.26
2021-09-20,3,0,2,20,registered,212,3.99,1.24,845.88,844.64
2021-03-03,1,0,4,7,casual,1,3.99,1.24,3.99,2.75
2021-10-08,4,0,6,6,registered,16,3.99,1.24,63.84,62.60
2021-06-06,2,0,1,17,registered,516,3.99,1.24,2058.84,2057.60
2021-08-21,3,0,0,7,registered,19,3.99,1.24,75.81,74.57
2021-03-09,1,0,3,17,registered,176,3.99,1.24,702.24,701.00
2021-09-06,3,0,2,10,casual,16,3.99,1.24,63.84,62.60
2021-01-29,1,0,6,18,casual,9,3.99,1.24,35.91,34.67
2021-08-17,3,0,3,15,casual,42,3.99,1.24,167.58,166.34
2021-02-21,1,0,1,5,casual,1,3.99,1.24,3.99,2.75
2021-07-28,3,0,4,8,registered,409,3.99,1.24,1631.91,1630.67
2021-02-01,1,0,2,16,casual,3,3.99,1.24,11.97,10.73
2021-09-20,3,0,2,13,registered,81,3.99,1.24,323.19,321.95
2021-08-13,3,0,6,9,casual,70,3.99,1.24,279.30,278.06
2021-08-01,3,0,1,19,registered,350,3.99,1.24,1396.50,1395.26
2021-03-21,2,0,1,0,registered,11,3.99,1.24,43.89,42.65
2021-03-09,1,0,3,13,casual,17,3.99,1.24,67.83,66.59
2021-07-02,3,0,6,12,registered,232,3.99,1.24,925.68,924.44
2021-12-07,4,0,3,1,casual,4,3.99,1.24,15.96,14.72
2021-03-20,1,0,0,10,casual,55,3.99,1.24,219.45,218.21
2021-07-20,3,0,3,17,casual,50,3.99,1.24,199.50,198.26
2021-04-16,2,0,6,9,registered,27,3.99,1.24,107.73,106.49
2021-12-05,4,0,1,11,casual,17,3.99,1.24,67.83,66.59
2021-07-27,3,0,3,0,casual,19,3.99,1.24,75.81,74.57
2021-10-02,4,0,0,2,registered,27,3.99,1.24,107.73,106.49
2021-10-15,4,0,6,16,casual,179,3.99,1.24,714.21,712.97
2021-12-19,4,0,1,17,casual,16,3.99,1.24,63.84,62.60
2021-10-31,4,0,1,11,registered,97,3.99,1.24,387.03,385.79
2021-08-02,3,0,2,13,registered,153,3.99,1.24,610.47,609.23
2021-04-14,2,0,4,6,registered,66,3.99,1.24,263.34,262.10
2021-12-12,4,0,1,17,casual,7,3.99,1.24,27.93,26.69
2021-02-27,1,0,0,0,registered,26,3.99,1.24,103.74,102.50
2021-05-17,2,0,2,2,registered,4,3.99,1.24,15.96,14.72
2021-06-17,2,0,5,0,registered,21,3.99,1.24,83.79,82.55
2021-03-02,1,0,3,5,registered,5,3.99,1.24,19.95,18.71
2021-03-15,1,0,2,23,registered,17,3.99,1.24,67.83,66.59
2021-10-13,4,0,4,15,casual,27,3.99,1.24,107.73,106.49
2021-08-01,3,0,1,17,registered,445,3.99,1.24,1775.55,1774.31
2021-01-20,1,0,4,22,registered,56,3.99,1.24,223.44,222.20
2021-01-06,1,0,4,13,casual,12,3.99,1.24,47.88,46.64
2021-10-15,4,0,6,8,registered,101,3.99,1.24,402.99,401.75
2021-03-07,1,0,1,19,casual,11,3.99,1.24,43.89,42.65
2021-10-02,4,0,0,10,registered,188,3.99,1.24,750.12,748.88
2021-11-28,4,0,1,16,casual,24,3.99,1.24,95.76,94.52
2021-08-14,3,0,0,6,casual,2,3.99,1.24,7.98,6.74
2021-01-30,1,0,0,20,casual,3,3.99,1.24,11.97,10.73
2021-12-17,4,0,6,23,registered,63,3.99,1.24,251.37,250.13
2021-04-17,2,0,0,13,casual,181,3.99,1.24,722.19,720.95
2021-05-31,2,0,2,19,casual,39,3.99,1.24,155.61,154.37
2021-12-26,1,0,1,20,casual,14,3.99,1.24,55.86,54.62
2021-03-18,1,0,5,6,casual,1,3.99,1.24,3.99,2.75
2021-05-22,2,0,0,3,registered,23,3.99,1.24,91.77,90.53
2021-09-18,3,0,0,15,registered,233,3.99,1.24,929.67,928.43
2021-06-03,2,0,5,12,registered,208,3.99,1.24,829.92,828.68
2021-10-06,4,0,4,17,casual,63,3.99,1.24,251.37,250.13
2021-07-16,3,0,6,20,casual,108,3.99,1.24,430.92,429.68
2021-08-24,3,0,3,3,casual,0,3.99,1.24,0.00,-1.24
2021-12-06,4,0,2,20,casual,3,3.99,1.24,11.97,10.73
2021-03-15,1,0,2,7,registered,109,3.99,1.24,434.91,433.67
2021-01-27,1,0,4,17,registered,82,3.99,1.24,327.18,325.94
2021-01-29,1,0,6,13,registered,56,3.99,1.24,223.44,222.20
2021-09-01,3,0,4,13,registered,169,3.99,1.24,674.31,673.07
2021-10-09,4,0,0,2,registered,35,3.99,1.24,139.65,138.41
2021-12-05,4,0,1,19,registered,295,3.99,1.24,1177.05,1175.81
2021-05-06,2,0,5,23,casual,27,3.99,1.24,107.73,106.49
2021-04-09,2,0,6,21,casual,10,3.99,1.24,39.90,38.66
2021-08-31,3,0,3,20,registered,259,3.99,1.24,1033.41,1032.17
2021-02-27,1,0,0,8,casual,9,3.99,1.24,35.91,34.67
2021-02-09,1,0,3,6,casual,0,3.99,1.24,0.00,-1.24
2021-10-06,4,0,4,11,casual,29,3.99,1.24,115.71,114.47
2021-01-21,1,0,5,12,casual,11,3.99,1.24,43.89,42.65
2021-04-24,2,0,0,8,registered,42,3.99,1.24,167.58,166.34
2021-02-01,1,0,2,20,casual,5,3.99,1.24,19.95,18.71
2021-07-16,3,0,6,4,casual,9,3.99,1.24,35.91,34.67
2021-10-16,4,0,0,4,casual,5,3.99,1.24,19.95,18.71
2021-12-23,1,0,5,19,registered,75,3.99,1.24,299.25,298.01
2021-08-19,3,0,5,23,casual,18,3.99,1.24,71.82,70.58
2021-02-28,1,0,1,3,registered,1,3.99,1.24,3.99,2.75
2021-07-06,3,0,3,8,casual,31,3.99,1.24,123.69,122.45
2021-06-11,2,0,6,15,casual,142,3.99,1.24,566.58,565.34
2021-12-05,4,0,1,0,casual,3,3.99,1.24,11.97,10.73
2021-01-15,1,0,6,3,casual,1,3.99,1.24,3.99,2.75
2021-05-23,2,0,1,12,registered,139,3.99,1.24,554.61,553.37
2021-07-24,3,0,0,3,casual,17,3.99,1.24,67.83,66.59
2021-11-10,4,0,4,22,casual,5,3.99,1.24,19.95,18.71
2021-12-25,1,0,0,9,casual,3,3.99,1.24,11.97,10.73
2021-05-15,2,0,0,9,registered,98,3.99,1.24,391.02,389.78
2021-05-05,2,0,4,19,casual,56,3.99,1.24,223.44,222.20
2021-11-22,4,0,2,9,casual,2,3.99,1.24,7.98,6.74
2021-08-31,3,0,3,3,casual,2,3.99,1.24,7.98,6.74
2021-03-28,2,0,1,18,registered,220,3.99,1.24,877.80,876.56
2021-12-28,1,0,3,10,registered,84,3.99,1.24,335.16,333.92
2021-10-27,4,0,4,17,casual,31,3.99,1.24,123.69,122.45
2021-09-17,3,0,6,14,casual,123,3.99,1.24,490.77,489.53
2021-10-24,4,0,1,17,casual,87,3.99,1.24,347.13,345.89
2021-04-25,2,0,1,8,registered,326,3.99,1.24,1300.74,1299.50
2021-10-19,4,0,3,7,casual,1,3.99,1.24,3.99,2.75
2021-04-06,2,0,3,16,casual,27,3.99,1.24,107.73,106.49
2021-06-10,2,0,5,8,casual,29,3.99,1.24,115.71,114.47
2021-06-05,2,0,0,5,registered,5,3.99,1.24,19.95,18.71
2021-12-26,1,0,1,10,casual,31,3.99,1.24,123.69,122.45
2021-08-07,3,0,0,18,casual,74,3.99,1.24,295.26,294.02
2021-06-14,2,0,2,6,casual,6,3.99,1.24,23.94,22.70
2021-10-23,4,0,0,13,registered,255,3.99,1.24,1017.45,1016.21
2021-03-07,1,0,1,0,registered,4,3.99,1.24,15.96,14.72
2021-01-27,1,0,4,20,registered,55,3.99,1.24,219.45,218.21
2021-03-06,1,0,0,2,casual,5,3.99,1.24,19.95,18.71
2021-11-16,4,0,3,14,registered,49,3.99,1.24,195.51,194.27
2021-01-09,1,0,0,4,casual,0,3.99,1.24,0.00,-1.24
2021-04-17,2,0,0,16,casual,161,3.99,1.24,642.39,641.15
2021-11-20,4,0,0,2,casual,12,3.99,1.24,47.88,46.64
2021-09-02,3,0,5,0,registered,58,3.99,1.24,231.42,230.18
2021-12-11,4,0,0,2,casual,5,3.99,1.24,19.95,18.71
2021-04-25,2,0,1,19,registered,320,3.99,1.24,1276.80,1275.56
2021-09-05,3,0,1,21,casual,20,3.99,1.24,79.80,78.56
2021-10-08,4,0,6,20,casual,78,3.99,1.24,311.22,309.98
2021-07-11,3,0,1,22,registered,70,3.99,1.24,279.30,278.06
2021-10-20,4,0,4,4,registered,6,3.99,1.24,23.94,22.70
2021-02-09,1,0,3,21,registered,83,3.99,1.24,331.17,329.93
2021-02-11,1,0,5,13,registered,89,3.99,1.24,355.11,353.87
2021-09-09,3,0,5,16,registered,244,3.99,1.24,973.56,972.32
2021-06-08,2,0,3,13,casual,20,3.99,1.24,79.80,78.56
2021-02-18,1,0,5,0,registered,20,3.99,1.24,79.80,78.56
2021-08-25,3,0,4,1,registered,11,3.99,1.24,43.89,42.65
2021-05-21,2,0,6,7,casual,10,3.99,1.24,39.90,38.66
2021-11-08,4,0,2,14,registered,129,3.99,1.24,514.71,513.47
2021-05-09,2,0,1,20,casual,25,3.99,1.24,99.75,98.51
2021-10-07,4,0,5,4,registered,5,3.99,1.24,19.95,18.71
2021-09-28,4,0,3,9,casual,14,3.99,1.24,55.86,54.62
2021-12-28,1,0,3,15,registered,101,3.99,1.24,402.99,401.75
2021-01-09,1,0,0,20,registered,38,3.99,1.24,151.62,150.38
2021-08-17,3,0,3,19,registered,297,3.99,1.24,1185.03,1183.79
2021-02-08,1,0,2,12,casual,2,3.99,1.24,7.98,6.74
2021-11-24,4,0,4,3,casual,1,3.99,1.24,3.99,2.75
2021-12-09,4,0,5,4,casual,1,3.99,1.24,3.99,2.75
2021-08-04,3,0,4,3,casual,0,3.99,1.24,0.00,-1.24
2021-03-17,1,0,4,3,casual,1,3.99,1.24,3.99,2.75
2021-02-06,1,0,0,22,casual,5,3.99,1.24,19.95,18.71
2021-08-24,3,0,3,18,registered,519,3.99,1.24,2070.81,2069.57
2021-02-14,1,0,1,21,registered,35,3.99,1.24,139.65,138.41
2021-07-18,3,0,1,21,registered,154,3.99,1.24,614.46,613.22
2021-02-25,1,0,5,9,registered,111,3.99,1.24,442.89,441.65
2021-11-29,4,0,2,11,casual,1,3.99,1.24,3.99,2.75
2021-05-05,2,0,4,4,casual,4,3.99,1.24,15.96,14.72
2021-10-27,4,0,4,4,casual,1,3.99,1.24,3.99,2.75
2021-02-10,1,0,4,13,casual,3,3.99,1.24,11.97,10.73
2021-04-11,2,0,1,12,casual,37,3.99,1.24,147.63,146.39
2021-08-21,3,0,0,4,casual,1,3.99,1.24,3.99,2.75
2021-11-18,4,0,5,6,casual,1,3.99,1.24,3.99,2.75
2021-02-15,1,0,2,18,casual,14,3.99,1.24,55.86,54.62
2021-12-08,4,0,4,6,registered,71,3.99,1.24,283.29,282.05
2021-06-26,3,0,0,14,casual,197,3.99,1.24,786.03,784.79
2021-04-15,2,0,5,17,registered,267,3.99,1.24,1065.33,1064.09
2021-12-16,4,0,5,3,casual,2,3.99,1.24,7.98,6.74
2021-08-06,3,0,6,16,registered,188,3.99,1.24,750.12,748.88
2021-02-02,1,0,3,22,casual,5,3.99,1.24,19.95,18.71
2021-05-14,2,0,6,13,casual,68,3.99,1.24,271.32,270.08
2021-01-02,1,0,0,15,casual,19,3.99,1.24,75.81,74.57
2021-12-22,1,0,4,6,registered,63,3.99,1.24,251.37,250.13
2021-04-02,2,0,6,23,casual,20,3.99,1.24,79.80,78.56
2021-03-29,2,0,2,23,casual,8,3.99,1.24,31.92,30.68
2021-09-10,3,0,6,0,casual,32,3.99,1.24,127.68,126.44
2021-05-14,2,0,6,1,registered,64,3.99,1.24,255.36,254.12
2021-10-04,4,0,2,3,registered,3,3.99,1.24,11.97,10.73
2021-06-03,2,0,5,10,casual,54,3.99,1.24,215.46,214.22
2021-11-10,4,0,4,7,registered,266,3.99,1.24,1061.34,1060.10
2021-08-12,3,0,5,20,casual,77,3.99,1.24,307.23,305.99
2021-02-22,1,0,2,11,casual,7,3.99,1.24,27.93,26.69
2021-01-31,1,0,1,6,casual,0,3.99,1.24,0.00,-1.24
2021-06-30,3,0,4,1,registered,19,3.99,1.24,75.81,74.57
2021-11-23,4,0,3,7,registered,154,3.99,1.24,614.46,613.22
2021-10-02,4,0,0,15,casual,29,3.99,1.24,115.71,114.47
2021-04-30,2,0,6,12,casual,178,3.99,1.24,710.22,708.98
2021-09-28,4,0,3,7,registered,177,3.99,1.24,706.23,704.99
2021-03-30,2,0,3,14,registered,64,3.99,1.24,255.36,254.12
2021-07-20,3,0,3,7,casual,27,3.99,1.24,107.73,106.49
2021-03-13,1,0,0,8,casual,11,3.99,1.24,43.89,42.65
2021-03-12,1,0,6,5,casual,0,3.99,1.24,0.00,-1.24
2021-06-02,2,0,4,3,casual,0,3.99,1.24,0.00,-1.24
2021-09-07,3,0,3,12,registered,21,3.99,1.24,83.79,82.55
2021-10-01,4,0,6,14,registered,147,3.99,1.24,586.53,585.29
2021-04-08,2,0,5,20,casual,12,3.99,1.24,47.88,46.64
2021-04-12,2,0,2,19,registered,127,3.99,1.24,506.73,505.49
2021-04-06,2,0,3,5,casual,1,3.99,1.24,3.99,2.75
2021-05-04,2,0,3,20,registered,174,3.99,1.24,694.26,693.02
2021-02-20,1,0,0,2,casual,0,3.99,1.24,0.00,-1.24
2021-04-27,2,0,3,4,casual,0,3.99,1.24,0.00,-1.24
2021-01-13,1,0,4,2,registered,2,3.99,1.24,7.98,6.74
2021-10-05,4,0,3,2,casual,1,3.99,1.24,3.99,2.75
2021-04-04,2,0,1,10,casual,35,3.99,1.24,139.65,138.41
2021-08-30,3,0,2,8,casual,34,3.99,1.24,135.66,134.42
2021-05-26,2,0,4,6,registered,94,3.99,1.24,375.06,373.82
2021-08-22,3,0,1,5,casual,1,3.99,1.24,3.99,2.75
2021-05-27,2,0,5,6,registered,73,3.99,1.24,291.27,290.03
2021-06-10,2,0,5,14,casual,44,3.99,1.24,175.56,174.32
2021-04-10,2,0,0,5,casual,0,3.99,1.24,0.00,-1.24
2021-12-09,4,0,5,23,casual,6,3.99,1.24,23.94,22.70
2021-08-30,3,0,2,10,casual,28,3.99,1.24,111.72,110.48
2021-06-01,2,0,3,2,casual,0,3.99,1.24,0.00,-1.24
2021-06-08,2,0,3,17,casual,80,3.99,1.24,319.20,317.96
2021-02-18,1,0,5,7,registered,108,3.99,1.24,430.92,429.68
